"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","state","Biodomain","color"
"Golgi apparatus",0.665760869565217,0.981642930633021,0.0466015072985992,-0.21589224143576,-0.851040684774998,28,"c(""RAB3B"", ""CDIPT"", ""ATP8A1"", ""TRAPPC6B"", ""AP3M2"", ""AP1B1"", ""AP1S1"", ""RTN1"", ""MAPK3"", ""AP3D1"", ""MAPK1"", ""DBNL"", ""RHEB"", ""SCFD1"", ""BAIAP2"")","2","Proteostasis","#C7B169"
"Golgi cisterna membrane",0.951020408163265,0.998019801980198,0.0488970772260102,-0.533898305084746,-0.717367765371584,1,"SCFD1","2","Proteostasis","#C7B169"
"Golgi lumen",0.120338983050847,0.885333333333333,0.165656695205483,-0.785568457520072,-1.33939145028626,2,"SDC2","2","Proteostasis","#C7B169"
"Golgi membrane",0.469750889679715,0.96366612111293,0.117249716749792,0.274774774774775,0.914644996157858,15,"c(""ROCK1"", ""OSBP"", ""MTOR"", ""GABARAPL2"", ""ARRB1"", ""DNM1L"", ""RTN3"", ""AP1G1"", ""SCFD1"", ""RHEB"", ""DBNL"", ""AP3D1"", ""RTN1"", ""AP1S1"", ""AP1B1"")","2","Proteostasis","#C7B169"
"Golgi stack",0.275728155339806,0.885333333333333,0.112378519110475,0.860169491525424,1.14829365996456,1,"NSFL1C","2","Proteostasis","#C7B169"
"Golgi to lysosome transport",0.70873786407767,0.981642930633021,0.0602484086158019,0.652542372881356,0.871119328248979,1,"AP1G1","2","Endolysosome","#3366cc"
"HSP90-CDC37 chaperone complex",0.969387755102041,0.998019801980198,0.0480220415968251,-0.516949152542373,-0.694594185518518,1,"CDC37","2","Proteostasis","#C7B169"
"MIB complex",0.987755102040816,0.998832281200913,0.0471642455670861,-0.508474576271186,-0.683207395591985,1,"MTX2","2","Mitochondrial Metabolism","#99cc99"
"N-terminal peptidyl-glutamic acid acetylation",0.666019417475728,0.981642930633021,0.0632191170859458,0.677966101694915,0.905059042336602,1,"NAA10","2","Proteostasis","#C7B169"
"N-terminal peptidyl-serine acetylation",0.666019417475728,0.981642930633021,0.0632191170859458,0.677966101694915,0.905059042336602,1,"NAA10","2","Proteostasis","#C7B169"
"N-terminal protein amino acid acetylation",0.666019417475728,0.981642930633021,0.0632191170859458,0.677966101694915,0.905059042336602,1,"NAA10","2","Proteostasis","#C7B169"
"NADH dehydrogenase (ubiquinone) activity",0.0680061823802164,0.885333333333333,0.213927855492356,-0.690987124463519,-1.47646438184592,4,"c(""NDUFA3"", ""NDUFS8"", ""NDUFB8"", ""NDUFB9"")","2","Mitochondrial Metabolism","#99cc99"
"NuRD complex",0.487378640776699,0.96366612111293,0.0789209638180035,0.76271186440678,1.01819142262868,1,"CSNK2A1","2","Epigenetic","#cc3333"
"RNA splicing",0.426020408163265,0.951315964081922,0.102080107662747,0.512820512820513,1.02011579829787,3,"c(""HNRNPA2B1"", ""PPP2R1A"", ""SYNCRIP"")","2","RNA Spliceosome","#0099ff"
"SAM complex",0.987755102040816,0.998832281200913,0.0471642455670861,-0.508474576271186,-0.683207395591985,1,"MTX2","2","Mitochondrial Metabolism","#99cc99"
"SCF ubiquitin ligase complex",0.217391304347826,0.885333333333333,0.14551614609036,0.723655617730346,1.21548869715855,2,"c(""RBX1"", ""CUL2"")","2","Proteostasis","#C7B169"
"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",0.0755813953488372,0.885333333333333,0.282013350011725,0.705187047707434,1.65918621423325,5,"c(""RBX1"", ""PSMD13"", ""PSMA6"", ""PSMC6"")","2","Proteostasis","#C7B169"
"Schaffer collateral - CA1 synapse",0.703764320785597,0.981642930633021,0.0525898950623616,-0.423076923076923,-0.821629547043224,3,"c(""SYN2"", ""BAIAP2"", ""AKAP12"")","2","Synapse","#339933"
"Sin3 complex",0.487378640776699,0.96366612111293,0.0789209638180035,0.76271186440678,1.01819142262868,1,"CSNK2A1","2","Epigenetic","#cc3333"
"T cell costimulation",0.881642512077295,0.998019801980198,0.0602484086158019,0.395744680851064,0.664712847865059,2,"c(""PAK3"", ""PAK1"")","2","Immune Response","#99cccc"
"T cell differentiation",0.0679611650485437,0.885333333333333,0.241339976815091,0.966101694915254,1.28970913532966,1,"JAG2","2","Immune Response","#99cccc"
"T cell receptor signaling pathway",0.41025641025641,0.949682352279755,0.119348440591015,0.382608695652174,1.01667951666349,7,"c(""PSMD13"", ""PSMA6"", ""PSMC6"", ""PAK3"", ""PDE4B"", ""PAK1"", ""MAPK1"")","2","Immune Response","#99cccc"
"T-helper 1 cell lineage commitment",0.190291262135922,0.885333333333333,0.13880510939114,0.902542372881356,1.2048598501106,1,"MTOR","2","Immune Response","#99cccc"
"TIM23 mitochondrial import inner membrane translocase complex",0.276271186440678,0.885333333333333,0.103576326612592,-0.680851063829787,-1.16084866326067,2,"c(""TIMM10"", ""SLC25A6"")","2","Mitochondrial Metabolism","#99cc99"
"VCB complex",0.217391304347826,0.885333333333333,0.14551614609036,0.723655617730346,1.21548869715855,2,"c(""RBX1"", ""CUL2"")","2","Proteostasis","#C7B169"
"VCP-NPL4-UFD1 AAA ATPase complex",0.6,0.96366612111293,0.0683110858318647,0.716101694915254,0.955968613468036,1,"VCP","2","Proteostasis","#C7B169"
"actin cap",0.0673469387755102,0.885333333333333,0.248911114434702,-0.970338983050847,-1.30378744658804,1,"ACTR2","2","Structural Stabilization","#ff9999"
"actin crosslink formation",0.601694915254237,0.96366612111293,0.0615706755421678,-0.531914893617021,-0.906913018172396,2,"c(""DPYSL3"", ""BAIAP2"")","2","Structural Stabilization","#ff9999"
"actin cytoskeleton",0.109422492401216,0.885333333333333,0.16440575583821,-0.610909212513121,-1.40070736131196,5,"c(""ACTR2"", ""ACTN4"")","2","Structural Stabilization","#ff9999"
"actin cytoskeleton organization",0.706647398843931,0.981642930633021,0.0466948041282054,-0.304010212425859,-0.816300249138265,8,"c(""ACTR2"", ""DIAPH1"", ""ADD2"")","2","Structural Stabilization","#ff9999"
"actin cytoskeleton reorganization",0.814285714285714,0.998019801980198,0.0560595875032335,-0.605932203389831,-0.814155479747115,1,"PAK1","2","Structural Stabilization","#ff9999"
"actin filament",0.53323029366306,0.96366612111293,0.0629394692018967,-0.450643776824034,-0.962911553377772,4,"c(""ACTN2"", ""PAK1"", ""DBNL"", ""MYO5A"")","2","Structural Stabilization","#ff9999"
"actin filament bundle assembly",0.427168576104746,0.951315964081922,0.0768736734126542,-0.534188034188034,-1.03741104424649,3,"c(""DPYSL3"", ""ADD2"", ""BAIAP2"")","2","Structural Stabilization","#ff9999"
"actin filament depolymerization",0.304854368932039,0.885333333333333,0.105920292736253,0.847457627118644,1.13132380292075,1,"WDR1","2","Structural Stabilization","#ff9999"
"actin filament fragmentation",0.304854368932039,0.885333333333333,0.105920292736253,0.847457627118644,1.13132380292075,1,"WDR1","2","Structural Stabilization","#ff9999"
"actin filament organization",0.808474576271186,0.998019801980198,0.0478299633114229,-0.446808510638298,-0.761806935264813,2,"c(""DIAPH1"", ""MYO5A"")","2","Structural Stabilization","#ff9999"
"actin filament polymerization",0.418367346938776,0.949682352279755,0.0899860794997137,-0.775423728813559,-1.04189127827778,1,"DIAPH1","2","Structural Stabilization","#ff9999"
"actin filament uncapping",0.557142857142857,0.96366612111293,0.0745500777420554,-0.716101694915254,-0.962183748792045,1,"ACTN2","2","Structural Stabilization","#ff9999"
"actin polymerization or depolymerization",0.695918367346939,0.981642930633021,0.0635007968065945,-0.669491525423729,-0.899556404196113,1,"ABI2","2","Structural Stabilization","#ff9999"
"activation of cysteine-type endopeptidase activity",0.838775510204082,0.998019801980198,0.0546808488785442,-0.593220338983051,-0.797075294857316,1,"CYFIP2","2","Apoptosis","#663399"
"activation of cysteine-type endopeptidase activity",0.838775510204082,0.998019801980198,0.0546808488785442,-0.593220338983051,-0.797075294857316,1,"CYFIP2","2","Proteostasis","#C7B169"
"activation of cysteine-type endopeptidase activity",0.838775510204082,0.998019801980198,0.0546808488785442,-0.593220338983051,-0.797075294857316,1,"CYFIP2","2","Apoptosis","#663399"
"activation of cysteine-type endopeptidase activity",0.838775510204082,0.998019801980198,0.0546808488785442,-0.593220338983051,-0.797075294857316,1,"CYFIP2","2","Proteostasis","#C7B169"
"activation of cysteine-type endopeptidase activity involved in apoptotic process",0.6,0.96366612111293,0.0683110858318647,0.716101694915254,0.955968613468036,1,"VCP","2","Apoptosis","#663399"
"adaptive immune response",0.313755795981453,0.885333333333333,0.0905428948469474,-0.531441406950976,-1.13555561402161,4,"c(""RAP1B"", ""YWHAB"")","2","Immune Response","#99cccc"
"adherens junction",0.509001636661211,0.96366612111293,0.0679922591544058,-0.5,-0.971016737414719,3,"c(""ABI2"", ""BAIAP2"", ""PIP5K1C"")","2","Structural Stabilization","#ff9999"
"adherens junction assembly",0.994174757281553,0.999024390243902,0.0445961615888961,0.504237288135593,0.673137662737847,1,"PIP5K1C","2","Structural Stabilization","#ff9999"
"aggrephagy",0.495918367346939,0.96366612111293,0.0806388495950661,-0.73728813559322,-0.990650723608378,1,"DYNLL2","2","Autophagy","#9933ff"
"aggresome",0.681553398058252,0.981642930633021,0.0621124188949471,0.661016949152542,0.882432566278187,1,"RANGAP1","2","Proteostasis","#C7B169"
"aggresome assembly",0.6,0.96366612111293,0.0683110858318647,0.716101694915254,0.955968613468036,1,"VCP","2","Proteostasis","#C7B169"
"aminophospholipid translocation",0.222448979591837,0.885333333333333,0.130777137971974,-0.885593220338983,-1.18991954732271,1,"ATP8A1","2","Lipid Metabolism","#999999"
"amyloid-beta complex",0.12621359223301,0.885333333333333,0.173747838999571,0.932203389830508,1.24445618321283,1,"ROCK1","2","APP Metabolism","#ff6600"
"anaphase-promoting complex-dependent catabolic process",0.0816901408450704,0.885333333333333,0.266350657088526,0.716738197424893,1.56890844722681,4,"c(""PSMD13"", ""PSMA6"", ""PSMC6"", ""CUL3"")","2","Proteostasis","#C7B169"
"anchored component of synaptic membrane",0.23495145631068,0.885333333333333,0.123257226381337,0.88135593220339,1.17657675503758,1,"GPHN","2","Structural Stabilization","#ff9999"
"anchored component of synaptic membrane",0.23495145631068,0.885333333333333,0.123257226381337,0.88135593220339,1.17657675503758,1,"GPHN","2","Synapse","#339933"
"anchored component of synaptic membrane",0.23495145631068,0.885333333333333,0.123257226381337,0.88135593220339,1.17657675503758,1,"GPHN","2","Structural Stabilization","#ff9999"
"anchored component of synaptic membrane",0.23495145631068,0.885333333333333,0.123257226381337,0.88135593220339,1.17657675503758,1,"GPHN","2","Synapse","#339933"
"anchored component of synaptic vesicle membrane",0.0408083756813732,0.840193918600967,0.321775918075361,-0.983050847457627,-1.32086763147784,1,"RAB3B","2","Synapse","#339933"
"angiogenesis",0.178571428571429,0.885333333333333,0.166933848713193,0.670940170940171,1.33465150277304,3,"c(""PTK2"", ""PANK2"", ""NRCAM"")","2","Vasculature","#cccc00"
"anterograde axonal transport",0.731587561374795,0.981642930633021,0.0508054139066364,-0.414529914529915,-0.80503097033528,3,"c(""AP3M2"", ""AP3D1"", ""AP3B2"")","2","Synapse","#339933"
"anterograde axonal transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Mitochondrial Metabolism","#99cc99"
"anterograde axonal transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Synapse","#339933"
"anterograde axonal transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Mitochondrial Metabolism","#99cc99"
"anterograde axonal transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Synapse","#339933"
"anterograde dendritic transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Mitochondrial Metabolism","#99cc99"
"anterograde dendritic transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Synapse","#339933"
"anterograde dendritic transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Mitochondrial Metabolism","#99cc99"
"anterograde dendritic transport of mitochondrion",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Synapse","#339933"
"anterograde synaptic vesicle transport",0.731587561374795,0.981642930633021,0.0508054139066364,-0.414529914529915,-0.80503097033528,3,"c(""AP3M2"", ""AP3D1"", ""AP3B2"")","2","Synapse","#339933"
"antigen processing and presentation",0.269491525423729,0.885333333333333,0.105125131597001,-0.684155880875245,-1.16648336467093,2,"RAB3B","2","Immune Response","#99cccc"
"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",0.0418057653672811,0.840193918600967,0.321775918075361,0.871794871794872,1.73419685710637,3,"c(""PSMD13"", ""PSMA6"", ""PSMC6"")","2","Immune Response","#99cccc"
"antigen processing and presentation of exogenous peptide antigen via MHC class II",0.695086705202312,0.981642930633021,0.0474483193656297,-0.305676855895196,-0.820775366827205,8,"c(""AP1B1"", ""DYNLL2"", ""AP1S1"", ""AP2A1"", ""AP2B1"", ""ACTR10"", ""AP1G1"", ""RAB7A"")","2","Immune Response","#99cccc"
"antigen processing and presentation, exogenous lipid antigen via MHC class Ib",0.722448979591837,0.981642930633021,0.0617054053637522,-0.652542372881356,-0.876782824343047,1,"AP3D1","2","Immune Response","#99cccc"
"antimicrobial humoral immune response mediated by antimicrobial peptide",0.983050847457627,0.998832281200913,0.038875878582578,-0.331914893617021,-0.565913723339575,2,"c(""GAPDH"", ""RPL30"")","2","Immune Response","#99cccc"
"antimicrobial humoral response",0.106122448979592,0.885333333333333,0.195789002148949,-0.944915254237288,-1.26962707680844,1,"CHGA","2","Immune Response","#99cccc"
"aorta development",0.90873786407767,0.998019801980198,0.048701086452153,0.550847457627119,0.735360471898489,1,"AP2B1","2","Vasculature","#cccc00"
"apical distal dendrite",0.312244897959184,0.885333333333333,0.107554375265169,-0.834745762711864,-1.12159880776351,1,"MAP2","2","Synapse","#339933"
"apical ectoplasmic specialization",0.939805825242718,0.998019801980198,0.0471642455670861,0.538135593220339,0.718390614854678,1,"ATP2A2","2","Structural Stabilization","#ff9999"
"apical junction assembly",0.304854368932039,0.885333333333333,0.105920292736253,0.847457627118644,1.13132380292075,1,"WDR1","2","Structural Stabilization","#ff9999"
"apoptotic process",0.953781512605042,0.998019801980198,0.0312771255290148,-0.143953060785753,-0.520532660755342,20,"c(""UBE2Z"", ""EPB41L3"", ""GAPDH"", ""SLC25A6"", ""MAPK3"", ""MAPK1"", ""PAK1"", ""CYFIP2"", ""BCAP29"")","2","Apoptosis","#663399"
"arachidonic acid metabolic process",0.910169491525424,0.998019801980198,0.0424170054438747,-0.382978723404255,-0.652977373084125,2,"c(""MAPK3"", ""GPX4"")","2","Lipid Metabolism","#999999"
"asparaginyl-tRNA aminoacylation",0.761224489795918,0.987793668648562,0.059221919380382,-0.63135593220339,-0.848315849526714,1,"NARS1","2","Proteostasis","#C7B169"
"astral microtubule",0.322330097087379,0.885333333333333,0.102449405629826,0.838983050847458,1.12001056489154,1,"PAFAH1B1","2","Structural Stabilization","#ff9999"
"autophagosome assembly",0.270422535211268,0.885333333333333,0.140406238523342,0.545064377682403,1.19312199280123,4,"c(""NSFL1C"", ""GABARAPL2"", ""RAB7A"", ""ATP2A2"")","2","Autophagy","#9933ff"
"autophagosome maturation",0.119897959183673,0.885333333333333,0.206587922696891,0.722222222222222,1.43666308260283,3,"c(""VPS16"", ""GABARAPL2"", ""VCP"")","2","Autophagy","#9933ff"
"autophagosome membrane docking",0.939805825242718,0.998019801980198,0.0471642455670861,0.538135593220339,0.718390614854678,1,"ATP2A2","2","Autophagy","#9933ff"
"autophagy",0.247093023255814,0.885333333333333,0.150169802128406,0.521551724137931,1.22712326256204,5,"c(""VPS16"", ""GABARAPL2"", ""VCP"", ""RAB7A"", ""PRKAA1"")","2","Autophagy","#9933ff"
"autophagy of mitochondrion",0.4,0.945454545454545,0.0897104652742981,0.796610169491525,1.06344437474551,1,"GABARAPL2","2","Autophagy","#9933ff"
"autophagy of mitochondrion",0.4,0.945454545454545,0.0897104652742981,0.796610169491525,1.06344437474551,1,"GABARAPL2","2","Mitochondrial Metabolism","#99cc99"
"autophagy of mitochondrion",0.4,0.945454545454545,0.0897104652742981,0.796610169491525,1.06344437474551,1,"GABARAPL2","2","Autophagy","#9933ff"
"autophagy of mitochondrion",0.4,0.945454545454545,0.0897104652742981,0.796610169491525,1.06344437474551,1,"GABARAPL2","2","Mitochondrial Metabolism","#99cc99"
"axolemma",0.26734693877551,0.885333333333333,0.11776578836269,-0.860169491525424,-1.15575917754311,1,"EPB41L3","2","Synapse","#339933"
"axon",0.757703081232493,0.987793668648562,0.042077210988939,-0.246695579493046,-0.756286810804259,12,"c(""STXBP1"", ""STX1A"", ""PALM"", ""AP3D1"", ""MAPK1"", ""PAK1"", ""PRKAA1"", ""DPYSL2"", ""SYAP1"", ""NRCAM"")","2","Synapse","#339933"
"axon cytoplasm",0.618589743589744,0.973240909266933,0.0934449219410994,0.310793683595053,0.825850472323648,7,"c(""TRAK2"", ""PAFAH1B1"", ""RANGAP1"", ""ACTR10"", ""AP3B2"")","2","Synapse","#339933"
"axon hillock",0.312244897959184,0.885333333333333,0.107554375265169,-0.834745762711864,-1.12159880776351,1,"MAP2","2","Synapse","#339933"
"axon initial segment",0.723728813559322,0.981642930633021,0.0529129848430583,-0.488274300018546,-0.832505959956567,2,"MAP2","2","Synapse","#339933"
"axonal growth cone",0.0294856628811402,0.837799524622743,0.352487857583619,0.98728813559322,1.31799223040268,1,"TRAK2","2","Synapse","#339933"
"azurophil granule lumen",0.523956723338485,0.96366612111293,0.0637845390312975,-0.454094007881675,-0.970283822824471,4,"ACTR2","2","Endolysosome","#3366cc"
"azurophil granule membrane",0.00306103953147745,0.837799524622743,0.431707695803346,-0.893162393162393,-1.73455126598014,3,"c(""VAPA"", ""RAP1B"", ""ATP8A1"")","2","Endolysosome","#3366cc"
"barbed-end actin filament capping",0.530612244897959,0.96366612111293,0.0770736734944102,-0.724576271186441,-0.973570538718578,1,"ADD2","2","Structural Stabilization","#ff9999"
"basal dendrite",0.312244897959184,0.885333333333333,0.107554375265169,-0.834745762711864,-1.12159880776351,1,"MAP2","2","Synapse","#339933"
"basement membrane",0.139805825242718,0.885333333333333,0.16440575583821,0.923728813559322,1.23314294518362,1,"AGRN","2","Structural Stabilization","#ff9999"
"basolateral plasma membrane",0.816901408450704,0.998019801980198,0.0714786287425507,0.313304721030043,0.685810279326689,4,"c(""ARRB1"", ""AP2A1"", ""ATP2B1"", ""PALM"")","2","Lipid Metabolism","#999999"
"bicellular tight junction",0.00316999178598767,0.837799524622743,0.431707695803346,-0.957446808510638,-1.63244343271031,2,"c(""VAPA"", ""ADCYAP1R1"")","2","Structural Stabilization","#ff9999"
"blood vessel diameter maintenance",0.12621359223301,0.885333333333333,0.173747838999571,0.932203389830508,1.24445618321283,1,"ROCK1","2","Vasculature","#cccc00"
"brain renin-angiotensin system",0.43495145631068,0.961571862787668,0.0850427463764322,0.779661016949153,1.04081789868709,1,"RPS6KA2","2","Vasculature","#cccc00"
"cadherin binding",0.849645390070922,0.998019801980198,0.0373806494758473,-0.225607363251121,-0.67240318763755,11,"c(""VAPA"", ""YWHAB"")","2","Structural Stabilization","#ff9999"
"cadherin binding involved in cell-cell adhesion",0.957142857142857,0.998019801980198,0.0486034247259069,-0.529661016949153,-0.711674370408318,1,"BAIAP2","2","Structural Stabilization","#ff9999"
"calyx of Held",0.23469387755102,0.885333333333333,0.126875729929857,-0.877118644067797,-1.17853275739617,1,"TPRG1L","2","Synapse","#339933"
"cardiac muscle contraction",0.190291262135922,0.885333333333333,0.13880510939114,0.902542372881356,1.2048598501106,1,"MTOR","2","Vasculature","#cccc00"
"carnitine shuttle",0.74368932038835,0.981642930633021,0.0579754757571486,0.635593220338983,0.848492852190564,1,"PRKAG2","2","Lipid Metabolism","#999999"
"carnitine shuttle",0.74368932038835,0.981642930633021,0.0579754757571486,0.635593220338983,0.848492852190564,1,"PRKAG2","2","Mitochondrial Metabolism","#99cc99"
"carnitine shuttle",0.74368932038835,0.981642930633021,0.0579754757571486,0.635593220338983,0.848492852190564,1,"PRKAG2","2","Lipid Metabolism","#999999"
"carnitine shuttle",0.74368932038835,0.981642930633021,0.0579754757571486,0.635593220338983,0.848492852190564,1,"PRKAG2","2","Mitochondrial Metabolism","#99cc99"
"catalytic step 2 spliceosome",0.659420289855073,0.981642930633021,0.0745500777420554,0.51063829787234,0.857693997245238,2,"c(""HNRNPA2B1"", ""SYNCRIP"")","2","RNA Spliceosome","#0099ff"
"caveolin-mediated endocytosis",0.401694915254237,0.945454545454545,0.0819778796501272,-0.629787234042553,-1.07378501351612,2,"c(""MAPK3"", ""MAPK1"")","2","Endolysosome","#3366cc"
"cell adhesion",0.669871794871795,0.981642930633021,0.0888945288620449,0.291304347826087,0.774062813823336,7,"c(""TRIP6"", ""NRCAM"", ""PRKCE"", ""ATP2A2"", ""PIP5K1C"", ""CYFIP2"", ""ACTN2"")","2","Structural Stabilization","#ff9999"
"cell adhesion involved in sprouting angiogenesis",0.388349514563107,0.945263847918715,0.0913924325943768,0.800847457627119,1.06910099376011,1,"RTN4","2","Structural Stabilization","#ff9999"
"cell adhesion involved in sprouting angiogenesis",0.388349514563107,0.945263847918715,0.0913924325943768,0.800847457627119,1.06910099376011,1,"RTN4","2","Vasculature","#cccc00"
"cell adhesion involved in sprouting angiogenesis",0.388349514563107,0.945263847918715,0.0913924325943768,0.800847457627119,1.06910099376011,1,"RTN4","2","Structural Stabilization","#ff9999"
